"woj","o_l","o_p","ouk_l","ouk_p","ouo_l","ouo_p","inne_l","inne_p","tydz","data"
"Dolnośląskie",13,0.56,2,15.4,11,84.6,1,7.7,"2010_01A","1_do_7_stycznia_2010"
"Kujawsko-Pomorskie",5,0.75,1,20,3,60,2,40,"2010_01A","1_do_7_stycznia_2010"
"Lubelskie",11,8.59,1,9.1,9,81.8,2,18.2,"2010_01A","1_do_7_stycznia_2010"
"Lubuskie",0,0,0,0,0,0,0,0,"2010_01A","1_do_7_stycznia_2010"
"Łódzkie",17,0.76,0,0,7,41.2,10,58.8,"2010_01A","1_do_7_stycznia_2010"
"Małopolskie",13,0.96,0,0,12,92.3,4,30.8,"2010_01A","1_do_7_stycznia_2010"
"Mazowieckie",42,1.51,4,9.5,36,85.7,2,4.8,"2010_01A","1_do_7_stycznia_2010"
"Opolskie",4,0.31,0,0,4,100,0,0,"2010_01A","1_do_7_stycznia_2010"
"Podkarpackie",9,2.31,0,0,8,88.9,1,11.1,"2010_01A","1_do_7_stycznia_2010"
"Podlaskie",5,2.08,0,0,5,100,1,20,"2010_01A","1_do_7_stycznia_2010"
"Pomorskie",4,0.77,2,50,1,25,1,25,"2010_01A","1_do_7_stycznia_2010"
"Śląskie",14,0.77,0,0,13,92.9,1,7.1,"2010_01A","1_do_7_stycznia_2010"
"Świętokrzyskie",9,29.03,0,0,9,100,7,77.8,"2010_01A","1_do_7_stycznia_2010"
"Warmińsko-Mazurskie",5,0.75,0,0,5,100,0,0,"2010_01A","1_do_7_stycznia_2010"
"Wielkopolskie",22,1.56,0,0,17,77.3,5,22.7,"2010_01A","1_do_7_stycznia_2010"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"2010_01A","1_do_7_stycznia_2010"
"Dolnośląskie",9,0.39,0,0,8,88.9,1,11.1,"2010_01B","8_do_15_stycznia_2010"
"Kujawsko-Pomorskie",2,0.73,0,0,2,100,0,0,"2010_01B","8_do_15_stycznia_2010"
"Lubelskie",14,4.08,1,7.1,12,85.7,4,28.6,"2010_01B","8_do_15_stycznia_2010"
"Lubuskie",4,1.51,0,0,3,75,1,25,"2010_01B","8_do_15_stycznia_2010"
"Łódzkie",7,0.4,0,0,3,42.9,4,57.1,"2010_01B","8_do_15_stycznia_2010"
"Małopolskie",26,1.62,0,0,26,100,12,46.2,"2010_01B","8_do_15_stycznia_2010"
"Mazowieckie",28,1.1,0,0,28,100,0,0,"2010_01B","8_do_15_stycznia_2010"
"Opolskie",1,0.11,0,0,1,100,0,0,"2010_01B","8_do_15_stycznia_2010"
"Podkarpackie",11,2.48,0,0,11,100,0,0,"2010_01B","8_do_15_stycznia_2010"
"Podlaskie",0,0,0,0,0,0,0,0,"2010_01B","8_do_15_stycznia_2010"
"Pomorskie",4,0.89,0,0,4,100,0,0,"2010_01B","8_do_15_stycznia_2010"
"Śląskie",16,1.34,1,6.3,11,68.8,5,31.3,"2010_01B","8_do_15_stycznia_2010"
"Świętokrzyskie",12,36.36,0,0,11,91.7,9,75,"2010_01B","8_do_15_stycznia_2010"
"Warmińsko-Mazurskie",22,3.18,0,0,22,100,0,0,"2010_01B","8_do_15_stycznia_2010"
"Wielkopolskie",23,1.14,0,0,21,91.3,2,8.7,"2010_01B","8_do_15_stycznia_2010"
"Zachodniopomorskie",2,0.34,0,0,1,50,1,50,"2010_01B","8_do_15_stycznia_2010"
"Dolnośląskie",7,0.29,1,14.3,6,85.7,0,0,"2010_01C","16_do_22_stycznia_2010"
"Kujawsko-Pomorskie",0,0,0,0,0,0,0,0,"2010_01C","16_do_22_stycznia_2010"
"Lubelskie",4,1.38,0,0,4,100,1,25,"2010_01C","16_do_22_stycznia_2010"
"Lubuskie",0,0,0,0,0,0,0,0,"2010_01C","16_do_22_stycznia_2010"
"Łódzkie",1,0.05,0,0,1,100,0,0,"2010_01C","16_do_22_stycznia_2010"
"Małopolskie",11,0.73,0,0,11,100,0,0,"2010_01C","16_do_22_stycznia_2010"
"Mazowieckie",9,0.27,0,0,7,77.8,2,22.2,"2010_01C","16_do_22_stycznia_2010"
"Opolskie",0,0,0,0,0,0,0,0,"2010_01C","16_do_22_stycznia_2010"
"Podkarpackie",5,1.76,0,0,5,100,0,0,"2010_01C","16_do_22_stycznia_2010"
"Podlaskie",6,1.77,0,0,6,100,1,16.7,"2010_01C","16_do_22_stycznia_2010"
"Pomorskie",1,0.13,0,0,0,0,1,100,"2010_01C","16_do_22_stycznia_2010"
"Śląskie",6,0.54,1,16.7,6,100,0,0,"2010_01C","16_do_22_stycznia_2010"
"Świętokrzyskie",1,7.14,0,0,1,100,0,0,"2010_01C","16_do_22_stycznia_2010"
"Warmińsko-Mazurskie",5,0.81,0,0,5,100,0,0,"2010_01C","16_do_22_stycznia_2010"
"Wielkopolskie",13,0.69,0,0,9,69.2,5,38.5,"2010_01C","16_do_22_stycznia_2010"
"Zachodniopomorskie",2,0.38,0,0,1,50,1,50,"2010_01C","16_do_22_stycznia_2010"
"Dolnośląskie",0,0,0,0,0,0,0,0,"2010_01D","23_do_31_stycznia_2010"
"Kujawsko-Pomorskie",0,0,0,0,0,0,0,0,"2010_01D","23_do_31_stycznia_2010"
"Lubelskie",3,1.12,0,0,3,100,1,33.3,"2010_01D","23_do_31_stycznia_2010"
