"woj","o_l","o_p","ouk_l","ouk_p","ouo_l","ouo_p","inne_l","inne_p","dni","miesiac","rok","tydz","numer"
"Dolnośląskie",28,0.55,0,0,28,100,0,0,"1-7","styczeń",2020,1,"1A"
"Kujawsko-Pomorskie",33,0.66,0,0,33,100,1,3,"1-7","styczeń",2020,1,"1A"
"Lubelskie",12,0.4,0,0,12,100,0,0,"1-7","styczeń",2020,1,"1A"
"Lubuskie",8,0.9,0,0,8,100,4,50,"1-7","styczeń",2020,1,"1A"
"Łódzkie",7,0.19,0,0,7,100,0,0,"1-7","styczeń",2020,1,"1A"
"Małopolskie",22,0.25,0,0,18,81.8,4,18.2,"1-7","styczeń",2020,1,"1A"
"Mazowieckie",56,0.32,2,3.6,53,94.6,2,3.6,"1-7","styczeń",2020,1,"1A"
"Opolskie",3,0.36,0,0,3,100,0,0,"1-7","styczeń",2020,1,"1A"
"Podkarpackie",5,0.32,0,0,5,100,0,0,"1-7","styczeń",2020,1,"1A"
"Podlaskie",5,0.37,0,0,5,100,0,0,"1-7","styczeń",2020,1,"1A"
"Pomorskie",59,0.42,3,5.1,59,100,9,15.3,"1-7","styczeń",2020,1,"1A"
"Śląskie",27,0.35,5,18.5,27,100,0,0,"1-7","styczeń",2020,1,"1A"
"Świętokrzyskie",2,0.14,0,0,2,100,0,0,"1-7","styczeń",2020,1,"1A"
"Warmińsko-Mazurskie",8,0.52,0,0,8,100,0,0,"1-7","styczeń",2020,1,"1A"
"Wielkopolskie",101,0.72,0,0,101,100,1,1,"1-7","styczeń",2020,1,"1A"
"Zachodniopomorskie",17,0.7,0,0,17,100,0,0,"1-7","styczeń",2020,1,"1A"
"Dolnośląskie",29,0.44,0,0,27,93.1,5,17.2,"8-15","styczeń",2020,2,"1B"
"Kujawsko-Pomorskie",38,0.53,0,0,38,100,1,2.6,"8-15","styczeń",2020,2,"1B"
"Lubelskie",25,0.55,0,0,25,100,0,0,"8-15","styczeń",2020,2,"1B"
"Lubuskie",8,0.62,0,0,7,87.5,1,12.5,"8-15","styczeń",2020,2,"1B"
"Łódzkie",27,0.52,0,0,27,100,0,0,"8-15","styczeń",2020,2,"1B"
"Małopolskie",55,0.39,0,0,47,85.5,12,21.8,"8-15","styczeń",2020,2,"1B"
"Mazowieckie",64,0.33,11,17.2,52,81.3,2,3.1,"8-15","styczeń",2020,2,"1B"
"Opolskie",2,0.16,0,0,2,100,0,0,"8-15","styczeń",2020,2,"1B"
"Podkarpackie",19,0.65,2,10.5,17,89.5,1,5.3,"8-15","styczeń",2020,2,"1B"
"Podlaskie",7,0.27,0,0,7,100,0,0,"8-15","styczeń",2020,2,"1B"
"Pomorskie",65,0.34,7,10.8,61,93.8,5,7.7,"8-15","styczeń",2020,2,"1B"
"Śląskie",26,0.28,1,3.8,26,100,0,0,"8-15","styczeń",2020,2,"1B"
"Świętokrzyskie",5,0.17,1,20,4,80,0,0,"8-15","styczeń",2020,2,"1B"
"Warmińsko-Mazurskie",15,0.69,0,0,15,100,0,0,"8-15","styczeń",2020,2,"1B"
"Wielkopolskie",94,0.44,2,2.1,89,94.7,5,5.3,"8-15","styczeń",2020,2,"1B"
"Zachodniopomorskie",19,0.87,0,0,19,100,1,5.3,"8-15","styczeń",2020,2,"1B"
"Dolnośląskie",47,0.58,1,2.1,46,97.9,1,2.1,"16-22","styczeń",2020,3,"1C"
"Kujawsko-Pomorskie",48,0.66,0,0,40,83.3,8,16.7,"16-22","styczeń",2020,3,"1C"
"Lubelskie",37,1.03,0,0,37,100,1,2.7,"16-22","styczeń",2020,3,"1C"
"Lubuskie",3,0.21,0,0,3,100,2,66.7,"16-22","styczeń",2020,3,"1C"
"Łódzkie",19,0.37,0,0,19,100,0,0,"16-22","styczeń",2020,3,"1C"
"Małopolskie",67,0.4,1,1.5,42,62.7,31,46.3,"16-22","styczeń",2020,3,"1C"
"Mazowieckie",59,0.27,6,10.2,47,79.7,6,10.2,"16-22","styczeń",2020,3,"1C"
"Opolskie",1,0.07,0,0,1,100,0,0,"16-22","styczeń",2020,3,"1C"
"Podkarpackie",19,0.81,1,5.3,19,100,0,0,"16-22","styczeń",2020,3,"1C"
"Podlaskie",11,0.54,0,0,11,100,0,0,"16-22","styczeń",2020,3,"1C"
"Pomorskie",84,0.46,2,2.4,81,96.4,25,29.8,"16-22","styczeń",2020,3,"1C"
