"woj","o_l","o_p","ouk_l","ouk_p","ouo_l","ouo_p","inne_l","inne_p","dni","miesiac","rok","tydz","numer"
"Dolnośląskie",21,0.71,0,0,20,95.2,1,4.8,"1-7","styczeń","2022","1","1A"
"Kujawsko-Pomorskie",13,0.41,0,0,13,100,0,0,"1-7","styczeń","2022","1","1A"
"Lubelskie",1,0.05,0,0,1,100,0,0,"1-7","styczeń","2022","1","1A"
"Lubuskie",1,0.12,1,100,0,0,0,0,"1-7","styczeń","2022","1","1A"
"Łódzkie",7,0.22,0,0,7,100,0,0,"1-7","styczeń","2022","1","1A"
"Małopolskie",5,0.09,0,0,3,60,2,40,"1-7","styczeń","2022","1","1A"
"Mazowieckie",9,0.09,0,0,7,77.8,2,22.2,"1-7","styczeń","2022","1","1A"
"Opolskie",1,0.15,0,0,1,100,0,0,"1-7","styczeń","2022","1","1A"
"Podkarpackie",1,0.1,0,0,1,100,0,0,"1-7","styczeń","2022","1","1A"
"Podlaskie",0,0,0,0,0,0,0,0,"1-7","styczeń","2022","1","1A"
"Pomorskie",13,0.12,0,0,13,100,0,0,"1-7","styczeń","2022","1","1A"
"Śląskie",26,0.45,0,0,26,100,0,0,"1-7","styczeń","2022","1","1A"
"Świętokrzyskie",12,0.45,0,0,12,100,0,0,"1-7","styczeń","2022","1","1A"
"Warmińsko-Mazurskie",8,0.75,0,0,8,100,0,0,"1-7","styczeń","2022","1","1A"
"Wielkopolskie",32,0.35,0,0,31,96.9,1,3.1,"1-7","styczeń","2022","1","1A"
"Zachodniopomorskie",3,0.66,0,0,3,100,0,0,"1-7","styczeń","2022","1","1A"
"Dolnośląskie",26,0.75,0,0,25,96.2,1,3.8,"8-15","styczeń","2022","2","1B"
"Kujawsko-Pomorskie",12,0.31,0,0,12,100,0,0,"8-15","styczeń","2022","2","1B"
"Lubelskie",6,0.39,0,0,6,100,0,0,"8-15","styczeń","2022","2","1B"
"Lubuskie",2,0.46,0,0,2,100,0,0,"8-15","styczeń","2022","2","1B"
"Łódzkie",7,0.23,0,0,7,100,0,0,"8-15","styczeń","2022","2","1B"
"Małopolskie",8,0.13,0,0,7,87.5,1,12.5,"8-15","styczeń","2022","2","1B"
"Mazowieckie",5,0.05,2,40,2,40,1,20,"8-15","styczeń","2022","2","1B"
"Opolskie",0,0,0,0,0,0,0,0,"8-15","styczeń","2022","2","1B"
"Podkarpackie",5,0.41,1,20,4,80,0,0,"8-15","styczeń","2022","2","1B"
"Podlaskie",0,0,0,0,0,0,0,0,"8-15","styczeń","2022","2","1B"
"Pomorskie",7,0.07,1,14.3,5,71.4,1,14.3,"8-15","styczeń","2022","2","1B"
"Śląskie",11,0.18,0,0,11,100,0,0,"8-15","styczeń","2022","2","1B"
"Świętokrzyskie",3,0.3,1,33.3,3,100,1,33.3,"8-15","styczeń","2022","2","1B"
"Warmińsko-Mazurskie",10,0.98,0,0,10,100,0,0,"8-15","styczeń","2022","2","1B"
"Wielkopolskie",34,0.4,1,2.9,32,94.1,1,2.9,"8-15","styczeń","2022","2","1B"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"8-15","styczeń","2022","2","1B"
"Dolnośląskie",33,0.86,0,0,33,100,0,0,"16-22","styczeń","2022","3","1C"
"Kujawsko-Pomorskie",19,0.51,0,0,19,100,0,0,"16-22","styczeń","2022","3","1C"
"Lubelskie",1,0.04,0,0,1,100,0,0,"16-22","styczeń","2022","3","1C"
"Lubuskie",1,0.18,0,0,1,100,0,0,"16-22","styczeń","2022","3","1C"
"Łódzkie",3,0.1,0,0,3,100,0,0,"16-22","styczeń","2022","3","1C"
"Małopolskie",16,0.25,0,0,16,100,0,0,"16-22","styczeń","2022","3","1C"
"Mazowieckie",4,0.03,0,0,4,100,0,0,"16-22","styczeń","2022","3","1C"
"Opolskie",0,0,0,0,0,0,0,0,"16-22","styczeń","2022","3","1C"
"Podkarpackie",1,0.06,0,0,1,100,0,0,"16-22","styczeń","2022","3","1C"
"Podlaskie",1,0.09,0,0,1,100,0,0,"16-22","styczeń","2022","3","1C"
"Pomorskie",14,0.12,1,7.1,12,85.7,1,7.1,"16-22","styczeń","2022","3","1C"
"Śląskie",11,0.14,0,0,11,100,0,0,"16-22","styczeń","2022","3","1C"
"Świętokrzyskie",2,0.19,0,0,2,100,0,0,"16-22","styczeń","2022","3","1C"
"Warmińsko-Mazurskie",13,1.01,0,0,13,100,0,0,"16-22","styczeń","2022","3","1C"
"Wielkopolskie",27,0.31,1,3.7,25,92.6,1,3.7,"16-22","styczeń","2022","3","1C"
"Zachodniopomorskie",0,0,0,0,0,0,0,0,"16-22","styczeń","2022","3","1C"
"Dolnośląskie",13,0.23,0,0,13,100,0,0,"23-31","styczeń","2022","4","1D"
"Kujawsko-Pomorskie",20,0.37,0,0,20,100,0,0,"23-31","styczeń","2022","4","1D"
"Lubelskie",1,0.03,0,0,0,0,1,100,"23-31","styczeń","2022","4","1D"
"Lubuskie",1,0.14,0,0,1,100,0,0,"23-31","styczeń","2022","4","1D"
"Łódzkie",10,0.26,0,0,10,100,0,0,"23-31","styczeń","2022","4","1D"
"Małopolskie",14,0.18,0,0,14,100,0,0,"23-31","styczeń","2022","4","1D"
"Mazowieckie",17,0.08,2,11.8,15,88.2,0,0,"23-31","styczeń","2022","4","1D"
"Opolskie",0,0,0,0,0,0,0,0,"23-31","styczeń","2022","4","1D"
"Podkarpackie",5,0.19,0,0,5,100,0,0,"23-31","styczeń","2022","4","1D"
"Podlaskie",0,0,0,0,0,0,0,0,"23-31","styczeń","2022","4","1D"
"Pomorskie",220,1.12,0,0,220,100,0,0,"23-31","styczeń","2022","4","1D"
"Śląskie",5,0.04,0,0,4,80,1,20,"23-31","styczeń","2022","4","1D"
"Świętokrzyskie",0,0,0,0,0,0,0,0,"23-31","styczeń","2022","4","1D"
"Warmińsko-Mazurskie",20,1.13,0,0,20,100,0,0,"23-31","styczeń","2022","4","1D"
"Wielkopolskie",22,0.18,0,0,22,100,0,0,"23-31","styczeń","2022","4","1D"
"Zachodniopomorskie",1,0.11,0,0,1,100,0,0,"23-31","styczeń","2022","4","1D"
"Dolnośląskie",6,0.14,0,0,6,100,0,0,"1-7","luty","2022","5","2A"
"Kujawsko-Pomorskie",12,0.26,0,0,12,100,0,0,"1-7","luty","2022","5","2A"
