"woj","o_l","o_z","o_z_wsk","l_0_4","z_0_4","l_5_14","z_5_14","l_15_64","z_15_64","l_65","z_65","tydz","data"
"Dolnośląskie",2318,11.51,-0.98,282,29.38,388,20.67,1399,9.59,249,9.19,"2010_01A","1_do_7_stycznia_2010"
"Kujawsko-Pomorskie",664,4.59,-0.42,158,20.98,185,12.08,287,2.77,34,1.87,"2010_01A","1_do_7_stycznia_2010"
"Lubelskie",128,0.85,-1.35,9,1.19,24,1.49,93,0.88,2,0.09,"2010_01A","1_do_7_stycznia_2010"
"Lubuskie",250,3.54,-6.36,35,9.41,47,6.44,156,3.04,12,1.44,"2010_01A","1_do_7_stycznia_2010"
"Łódzkie",2245,12.6,4.44,410,49.08,412,24.58,1099,8.69,324,12.17,"2010_01A","1_do_7_stycznia_2010"
"Małopolskie",1361,5.9,-0.98,120,9.99,93,3.7,1071,6.6,77,2.47,"2010_01A","1_do_7_stycznia_2010"
"Mazowieckie",2774,7.6,-0.18,498,25.89,404,11.17,1486,5.79,386,7.3,"2010_01A","1_do_7_stycznia_2010"
"Opolskie",1296,17.94,5.12,186,61.55,220,32.04,787,15.11,103,10.05,"2010_01A","1_do_7_stycznia_2010"
"Podkarpackie",389,2.65,-5.45,30,4.06,39,2.35,296,2.85,24,1.25,"2010_01A","1_do_7_stycznia_2010"
"Podlaskie",240,2.88,-4,23,5.82,37,4.23,171,2.93,9,0.73,"2010_01A","1_do_7_stycznia_2010"
"Pomorskie",521,3.35,-1.43,158,17.77,91,5.4,231,2.08,41,2.15,"2010_01A","1_do_7_stycznia_2010"
"Śląskie",1811,5.57,0.78,211,13.86,294,9.77,1185,5.07,121,2.64,"2010_01A","1_do_7_stycznia_2010"
"Świętokrzyskie",31,0.35,-0.58,1,0.24,1,0.11,27,0.43,2,0.15,"2010_01A","1_do_7_stycznia_2010"
"Warmińsko-Mazurskie",671,6.71,-1.75,119,22.19,79,7.18,430,5.99,43,3.66,"2010_01A","1_do_7_stycznia_2010"
"Wielkopolskie",1410,5.92,-0.94,229,17.37,288,11.36,789,4.6,104,3.68,"2010_01A","1_do_7_stycznia_2010"
