"woj","o_l","o_z","o_z_wsk","l_0_4","z_0_4","l_5_14","z_5_14","l_15_64","z_15_64","l_65","z_65","dni","miesiac","rok","tydz","numer"
"Dolnośląskie",5056,24.91,2.56,1114,115.71,915,46.05,2259,16.67,768,20.23,"1-7","styczeń",2020,1,"1A"
"Kujawsko-Pomorskie",4978,34.28,-8.26,1210,175.3,931,61.74,2292,23.4,545,21.55,"1-7","styczeń",2020,1,"1A"
"Lubelskie",3020,20.43,-6.37,611,88.8,650,43.71,1352,13.65,407,15.05,"1-7","styczeń",2020,1,"1A"
"Lubuskie",885,12.48,-10.68,194,57.48,176,23.55,439,9.18,76,6.21,"1-7","styczeń",2020,1,"1A"
"Łódzkie",3765,21.86,-0.29,858,108.68,689,41.03,1697,14.96,521,15.27,"1-7","styczeń",2020,1,"1A"
"Małopolskie",8965,37.61,-3.23,2221,172.16,1814,71.39,3884,24.28,1046,26.12,"1-7","styczeń",2020,1,"1A"
"Mazowieckie",17530,46.28,-8.04,4235,202.55,3169,77.13,8199,32.92,1927,28.44,"1-7","styczeń",2020,1,"1A"
"Opolskie",824,11.96,-4.91,203,67.37,131,21.05,359,7.65,131,10.26,"1-7","styczeń",2020,1,"1A"
"Podkarpackie",1549,10.4,-1.34,324,44.56,263,17.18,736,7.25,226,9.11,"1-7","styczeń",2020,1,"1A"
"Podlaskie",1344,16.28,-4.63,410,102.68,222,27.52,599,10.69,113,7.81,"1-7","styczeń",2020,1,"1A"
"Pomorskie",14216,86.87,-19.76,3760,411.19,2564,140.28,6366,58.41,1526,56.03,"1-7","styczeń",2020,1,"1A"
"Śląskie",7728,24.4,-2.36,2072,139.41,1342,43.22,3468,16.44,846,14.15,"1-7","styczeń",2020,1,"1A"
"Świętokrzyskie",1423,16.43,-11.89,410,110.88,289,35.17,563,9.72,161,9.6,"1-7","styczeń",2020,1,"1A"
"Warmińsko-Mazurskie",1550,15.53,-5.26,353,74.44,273,25.86,703,10.29,221,13.63,"1-7","styczeń",2020,1,"1A"
"Wielkopolskie",13935,56.95,-25.68,3198,239.58,2473,91.65,6636,40.49,1628,40.23,"1-7","styczeń",2020,1,"1A"
"Zachodniopomorskie",2443,20.55,6.12,670,124.02,568,47.94,916,11.43,289,13.45,"1-7","styczeń",2020,1,"1A"
"Dolnośląskie",6654,28.68,3.77,1357,123.33,1067,46.99,3284,21.2,946,21.8,"8-15","styczeń",2020,2,"1B"
"Kujawsko-Pomorskie",7157,43.12,8.84,1746,221.33,1499,86.98,3088,27.59,824,28.51,"8-15","styczeń",2020,2,"1B"
"Lubelskie",4542,26.88,6.45,978,124.38,818,48.14,2143,18.93,603,19.51,"8-15","styczeń",2020,2,"1B"
"Lubuskie",1282,15.82,3.34,272,70.51,239,27.99,672,12.29,99,7.08,"8-15","styczeń",2020,2,"1B"
"Łódzkie",5235,26.6,4.74,1141,126.47,923,48.1,2450,18.9,721,18.49,"8-15","styczeń",2020,2,"1B"
"Małopolskie",14236,52.26,14.65,3316,224.91,2851,98.17,6612,36.16,1457,31.84,"8-15","styczeń",2020,2,"1B"
"Mazowieckie",19134,44.2,-2.08,4244,177.6,3322,70.75,9299,32.67,2269,29.3,"8-15","styczeń",2020,2,"1B"
"Opolskie",1258,15.98,4.02,238,69.11,170,23.9,616,11.49,234,16.04,"8-15","styczeń",2020,2,"1B"
"Podkarpackie",2917,17.14,6.74,620,74.6,494,28.24,1372,11.82,431,15.2,"8-15","styczeń",2020,2,"1B"
"Podlaskie",2616,27.73,11.45,694,152.08,431,46.75,1134,17.71,357,21.59,"8-15","styczeń",2020,2,"1B"
"Pomorskie",19235,102.85,15.98,5249,502.27,3540,169.46,8456,67.89,1990,63.93,"8-15","styczeń",2020,2,"1B"
"Śląskie",9368,25.88,1.48,2164,127.4,1422,40.07,4626,19.19,1156,16.91,"8-15","styczeń",2020,2,"1B"
"Świętokrzyskie",2872,29.01,12.58,696,164.69,554,59,1298,19.61,324,16.9,"8-15","styczeń",2020,2,"1B"
"Warmińsko-Mazurskie",2171,19.03,3.5,454,83.77,412,34.15,980,12.55,325,17.54,"8-15","styczeń",2020,2,"1B"
"Wielkopolskie",21557,77.09,20.14,4449,291.64,4074,132.11,10399,55.52,2635,56.97,"8-15","styczeń",2020,2,"1B"
"Zachodniopomorskie",2196,16.16,-4.39,362,58.63,443,32.72,1046,11.42,345,14.05,"8-15","styczeń",2020,2,"1B"
"Dolnośląskie",8144,40.12,9.5,1800,186.97,2027,102.01,3434,25.34,883,23.26,"16-22","styczeń",2020,3,"1C"
"Kujawsko-Pomorskie",7310,50.34,7.21,1733,251.07,2211,146.63,2731,27.88,635,25.11,"16-22","styczeń",2020,3,"1C"
"Lubelskie",3590,24.28,-2.6,762,110.75,722,48.56,1670,16.86,436,16.12,"16-22","styczeń",2020,3,"1C"
"Lubuskie",1457,20.55,4.73,331,98.06,419,56.08,578,12.08,129,10.55,"16-22","styczeń",2020,3,"1C"
"Łódzkie",5090,29.56,2.96,1233,156.19,1040,61.94,2125,18.74,692,20.28,"16-22","styczeń",2020,3,"1C"
"Małopolskie",16744,70.25,17.99,3680,285.25,4692,184.64,6934,43.34,1438,35.91,"16-22","styczeń",2020,3,"1C"
"Mazowieckie",21493,56.74,12.54,4806,229.86,4762,115.9,9737,39.1,2188,32.29,"16-22","styczeń",2020,3,"1C"
"Opolskie",1369,19.87,3.89,349,115.82,271,43.54,591,12.6,158,12.38,"16-22","styczeń",2020,3,"1C"
"Podkarpackie",2347,15.76,-1.38,506,69.58,403,26.33,1133,11.16,305,12.29,"16-22","styczeń",2020,3,"1C"
"Podlaskie",2050,24.83,-2.89,525,131.48,425,52.69,878,15.67,222,15.34,"16-22","styczeń",2020,3,"1C"
"Pomorskie",18124,110.75,7.9,5568,608.91,3546,194,7397,67.87,1613,59.22,"16-22","styczeń",2020,3,"1C"
"Śląskie",10143,32.03,6.14,2650,178.31,1725,55.55,4637,21.98,1131,18.91,"16-22","styczeń",2020,3,"1C"
"Świętokrzyskie",3500,40.41,11.4,801,216.61,770,93.72,1510,26.07,419,24.98,"16-22","styczeń",2020,3,"1C"
"Warmińsko-Mazurskie",2264,22.68,3.65,520,109.66,519,49.17,940,13.76,285,17.58,"16-22","styczeń",2020,3,"1C"
"Wielkopolskie",21882,89.43,12.34,5195,389.19,5612,207.97,8960,54.67,2115,52.26,"16-22","styczeń",2020,3,"1C"
"Zachodniopomorskie",2189,18.41,2.25,466,86.26,593,50.05,889,11.09,241,11.22,"16-22","styczeń",2020,3,"1C"
"Dolnośląskie",15094,57.83,17.71,3088,249.48,4666,182.64,5821,33.4,1519,31.12,"23-31","styczeń",2020,4,"1D"
"Kujawsko-Pomorskie",14938,80.01,29.67,3849,433.71,4600,237.27,5384,42.75,1105,33.98,"23-31","styczeń",2020,4,"1D"
"Lubelskie",5669,29.82,5.54,1248,141.08,1111,58.11,2586,20.3,724,20.82,"23-31","styczeń",2020,4,"1D"
"Lubuskie",2063,22.63,2.08,521,120.05,676,70.37,697,11.33,169,10.75,"23-31","styczeń",2020,4,"1D"
"Łódzkie",7342,33.16,3.6,1989,195.96,1584,73.37,2880,19.75,889,20.26,"23-31","styczeń",2020,4,"1D"
"Małopolskie",32915,107.41,37.16,7451,449.21,10366,317.28,12307,59.83,2791,54.22,"23-31","styczeń",2020,4,"1D"
"Mazowieckie",32840,67.43,10.69,7353,273.52,9230,174.73,13538,42.28,2719,31.21,"23-31","styczeń",2020,4,"1D"
"Opolskie",2535,28.61,8.75,678,175.01,609,76.11,986,16.35,262,15.96,"23-31","styczeń",2020,4,"1D"
"Podkarpackie",3218,16.81,1.05,715,76.48,687,34.91,1403,10.75,413,12.95,"23-31","styczeń",2020,4,"1D"
"Podlaskie",3892,36.67,11.84,1024,199.46,921,88.81,1479,20.53,468,25.16,"23-31","styczeń",2020,4,"1D"
"Pomorskie",24197,115.01,4.25,7094,603.4,4905,208.72,10048,71.71,2150,61.4,"23-31","styczeń",2020,4,"1D"
"Śląskie",13946,34.25,2.22,3716,194.47,2475,61.99,6262,23.09,1493,19.42,"23-31","styczeń",2020,4,"1D"
"Świętokrzyskie",3205,28.78,-11.63,792,166.58,977,92.48,1144,15.36,292,13.54,"23-31","styczeń",2020,4,"1D"
"Warmińsko-Mazurskie",3564,27.77,5.09,837,137.28,795,58.58,1455,16.57,477,22.89,"23-31","styczeń",2020,4,"1D"
"Wielkopolskie",35733,113.59,24.16,8670,505.19,9801,282.5,14042,66.64,3220,61.89,"23-31","styczeń",2020,4,"1D"
"Zachodniopomorskie",3575,23.39,4.98,683,98.33,1096,71.95,1456,14.13,340,12.31,"23-31","styczeń",2020,4,"1D"
