"woj","suma","w_0.4","w_5_14","w_15_64","w_65","tydz","data"
"Dolnośląskie",1,0,0,1,0,"2010_01A","1_do_7_stycznia_2010"
"Kujawsko-Pomorskie",1,0,0,1,0,"2010_01A","1_do_7_stycznia_2010"
"Lubelskie",1,0,0,1,0,"2010_01A","1_do_7_stycznia_2010"
"Lubuskie",0,0,0,0,0,"2010_01A","1_do_7_stycznia_2010"
"Łódzkie",0,0,0,0,0,"2010_01A","1_do_7_stycznia_2010"
"Małopolskie",0,0,0,0,0,"2010_01A","1_do_7_stycznia_2010"
"Mazowieckie",2,0,1,0,1,"2010_01A","1_do_7_stycznia_2010"
"Opolskie",0,0,0,0,0,"2010_01A","1_do_7_stycznia_2010"
"Podkarpackie",1,0,0,1,0,"2010_01A","1_do_7_stycznia_2010"
"Podlaskie",1,0,0,1,0,"2010_01A","1_do_7_stycznia_2010"
"Pomorskie",0,0,0,0,0,"2010_01A","1_do_7_stycznia_2010"
"Śląskie",0,0,0,0,0,"2010_01A","1_do_7_stycznia_2010"
"Świętokrzyskie",0,0,0,0,0,"2010_01A","1_do_7_stycznia_2010"
"Warmińsko-Mazurskie",0,0,0,0,0,"2010_01A","1_do_7_stycznia_2010"
"Wielkopolskie",0,0,0,0,0,"2010_01A","1_do_7_stycznia_2010"
"Zachodniopomorskie",0,0,0,0,0,"2010_01A","1_do_7_stycznia_2010"
"Dolnośląskie",0,0,0,0,0,"2010_01B","8_do_15_stycznia_2010"
"Kujawsko-Pomorskie",0,0,0,0,0,"2010_01B","8_do_15_stycznia_2010"
"Lubelskie",0,0,0,0,0,"2010_01B","8_do_15_stycznia_2010"
"Lubuskie",0,0,0,0,0,"2010_01B","8_do_15_stycznia_2010"
"Łódzkie",0,0,0,0,0,"2010_01B","8_do_15_stycznia_2010"
"Małopolskie",0,0,0,0,0,"2010_01B","8_do_15_stycznia_2010"
"Mazowieckie",0,0,0,0,0,"2010_01B","8_do_15_stycznia_2010"
"Opolskie",0,0,0,0,0,"2010_01B","8_do_15_stycznia_2010"
"Podkarpackie",0,0,0,0,0,"2010_01B","8_do_15_stycznia_2010"
"Podlaskie",0,0,0,0,0,"2010_01B","8_do_15_stycznia_2010"
"Pomorskie",1,0,0,1,0,"2010_01B","8_do_15_stycznia_2010"
"Śląskie",0,0,0,0,0,"2010_01B","8_do_15_stycznia_2010"
"Świętokrzyskie",0,0,0,0,0,"2010_01B","8_do_15_stycznia_2010"
"Warmińsko-Mazurskie",0,0,0,0,0,"2010_01B","8_do_15_stycznia_2010"
"Wielkopolskie",2,0,0,2,0,"2010_01B","8_do_15_stycznia_2010"
"Zachodniopomorskie",0,0,0,0,0,"2010_01B","8_do_15_stycznia_2010"
"Dolnośląskie",0,0,0,0,0,"2010_01C","16_do_22_stycznia_2010"
"Kujawsko-Pomorskie",0,0,0,0,0,"2010_01C","16_do_22_stycznia_2010"
"Lubelskie",0,0,0,0,0,"2010_01C","16_do_22_stycznia_2010"
"Lubuskie",0,0,0,0,0,"2010_01C","16_do_22_stycznia_2010"
"Łódzkie",0,0,0,0,0,"2010_01C","16_do_22_stycznia_2010"
"Małopolskie",0,0,0,0,0,"2010_01C","16_do_22_stycznia_2010"
"Mazowieckie",1,0,0,1,0,"2010_01C","16_do_22_stycznia_2010"
"Opolskie",0,0,0,0,0,"2010_01C","16_do_22_stycznia_2010"
"Podkarpackie",0,0,0,0,0,"2010_01C","16_do_22_stycznia_2010"
"Podlaskie",0,0,0,0,0,"2010_01C","16_do_22_stycznia_2010"
"Pomorskie",0,0,0,0,0,"2010_01C","16_do_22_stycznia_2010"
"Śląskie",1,0,0,1,0,"2010_01C","16_do_22_stycznia_2010"
"Świętokrzyskie",0,0,0,0,0,"2010_01C","16_do_22_stycznia_2010"
"Warmińsko-Mazurskie",0,0,0,0,0,"2010_01C","16_do_22_stycznia_2010"
"Wielkopolskie",0,0,0,0,0,"2010_01C","16_do_22_stycznia_2010"
"Zachodniopomorskie",0,0,0,0,0,"2010_01C","16_do_22_stycznia_2010"
"Dolnośląskie",1,0,0,1,0,"2010_01D","23_do_31_stycznia_2010"
"Kujawsko-Pomorskie",0,0,0,0,0,"2010_01D","23_do_31_stycznia_2010"
"Lubelskie",0,0,0,0,0,"2010_01D","23_do_31_stycznia_2010"
"Lubuskie",0,0,0,0,0,"2010_01D","23_do_31_stycznia_2010"
"Łódzkie",0,0,0,0,0,"2010_01D","23_do_31_stycznia_2010"
"Małopolskie",0,0,0,0,0,"2010_01D","23_do_31_stycznia_2010"
"Mazowieckie",1,0,0,1,0,"2010_01D","23_do_31_stycznia_2010"
"Opolskie",0,0,0,0,0,"2010_01D","23_do_31_stycznia_2010"
"Podkarpackie",0,0,0,0,0,"2010_01D","23_do_31_stycznia_2010"
"Podlaskie",0,0,0,0,0,"2010_01D","23_do_31_stycznia_2010"
"Pomorskie",0,0,0,0,0,"2010_01D","23_do_31_stycznia_2010"
"Śląskie",0,0,0,0,0,"2010_01D","23_do_31_stycznia_2010"
"Świętokrzyskie",0,0,0,0,0,"2010_01D","23_do_31_stycznia_2010"
"Warmińsko-Mazurskie",0,0,0,0,0,"2010_01D","23_do_31_stycznia_2010"
"Wielkopolskie",1,0,0,1,0,"2010_01D","23_do_31_stycznia_2010"
"Zachodniopomorskie",0,0,0,0,0,"2010_01D","23_do_31_stycznia_2010"
"Dolnośląskie",0,0,0,0,0,"2010_02A","1_do_7_lutego_2010"
"Kujawsko-Pomorskie",1,0,0,1,0,"2010_02A","1_do_7_lutego_2010"
"Lubelskie",0,0,0,0,0,"2010_02A","1_do_7_lutego_2010"
"Lubuskie",0,0,0,0,0,"2010_02A","1_do_7_lutego_2010"
"Łódzkie",0,0,0,0,0,"2010_02A","1_do_7_lutego_2010"
"Małopolskie",0,0,0,0,0,"2010_02A","1_do_7_lutego_2010"
"Mazowieckie",0,0,0,0,0,"2010_02A","1_do_7_lutego_2010"
"Opolskie",0,0,0,0,0,"2010_02A","1_do_7_lutego_2010"
"Podkarpackie",0,0,0,0,0,"2010_02A","1_do_7_lutego_2010"
"Podlaskie",0,0,0,0,0,"2010_02A","1_do_7_lutego_2010"
"Pomorskie",0,0,0,0,0,"2010_02A","1_do_7_lutego_2010"
"Śląskie",0,0,0,0,0,"2010_02A","1_do_7_lutego_2010"
"Świętokrzyskie",0,0,0,0,0,"2010_02A","1_do_7_lutego_2010"
"Warmińsko-Mazurskie",1,0,0,1,0,"2010_02A","1_do_7_lutego_2010"
"Wielkopolskie",1,0,1,0,0,"2010_02A","1_do_7_lutego_2010"
"Zachodniopomorskie",0,0,0,0,0,"2010_02A","1_do_7_lutego_2010"
"Dolnośląskie",0,0,0,0,0,"2010_02B","8_do_15_lutego_2010"
"Kujawsko-Pomorskie",0,0,0,0,0,"2010_02B","8_do_15_lutego_2010"
"Lubelskie",0,0,0,0,0,"2010_02B","8_do_15_lutego_2010"
"Lubuskie",0,0,0,0,0,"2010_02B","8_do_15_lutego_2010"
"Łódzkie",0,0,0,0,0,"2010_02B","8_do_15_lutego_2010"
"Małopolskie",0,0,0,0,0,"2010_02B","8_do_15_lutego_2010"
"Mazowieckie",0,0,0,0,0,"2010_02B","8_do_15_lutego_2010"
"Opolskie",0,0,0,0,0,"2010_02B","8_do_15_lutego_2010"
"Podkarpackie",0,0,0,0,0,"2010_02B","8_do_15_lutego_2010"
"Podlaskie",0,0,0,0,0,"2010_02B","8_do_15_lutego_2010"
"Pomorskie",0,0,0,0,0,"2010_02B","8_do_15_lutego_2010"
"Śląskie",0,0,0,0,0,"2010_02B","8_do_15_lutego_2010"
"Świętokrzyskie",0,0,0,0,0,"2010_02B","8_do_15_lutego_2010"
"Warmińsko-Mazurskie",0,0,0,0,0,"2010_02B","8_do_15_lutego_2010"
"Wielkopolskie",0,0,0,0,0,"2010_02B","8_do_15_lutego_2010"
"Zachodniopomorskie",0,0,0,0,0,"2010_02B","8_do_15_lutego_2010"
"Dolnośląskie",0,0,0,0,0,"2010_02C","16_do_22_lutego_2010"
"Kujawsko-Pomorskie",0,0,0,0,0,"2010_02C","16_do_22_lutego_2010"
"Lubelskie",0,0,0,0,0,"2010_02C","16_do_22_lutego_2010"
"Lubuskie",0,0,0,0,0,"2010_02C","16_do_22_lutego_2010"
"Łódzkie",0,0,0,0,0,"2010_02C","16_do_22_lutego_2010"
"Małopolskie",0,0,0,0,0,"2010_02C","16_do_22_lutego_2010"
"Mazowieckie",0,0,0,0,0,"2010_02C","16_do_22_lutego_2010"
"Opolskie",0,0,0,0,0,"2010_02C","16_do_22_lutego_2010"
"Podkarpackie",0,0,0,0,0,"2010_02C","16_do_22_lutego_2010"
"Podlaskie",0,0,0,0,0,"2010_02C","16_do_22_lutego_2010"
"Pomorskie",0,0,0,0,0,"2010_02C","16_do_22_lutego_2010"
"Śląskie",0,0,0,0,0,"2010_02C","16_do_22_lutego_2010"
