"woj","suma","w_0_4","w_5_14","w_15_64","w_65","dni","miesiac","rok","tydz","numer"
"Dolnośląskie",1,0,0,1,0,"1-7","styczeń",2010,1,"1A"
"Kujawsko-Pomorskie",1,0,0,1,0,"1-7","styczeń",2010,1,"1A"
"Lubelskie",1,0,0,1,0,"1-7","styczeń",2010,1,"1A"
"Lubuskie",0,0,0,0,0,"1-7","styczeń",2010,1,"1A"
"Łódzkie",0,0,0,0,0,"1-7","styczeń",2010,1,"1A"
"Małopolskie",0,0,0,0,0,"1-7","styczeń",2010,1,"1A"
"Mazowieckie",2,0,1,0,1,"1-7","styczeń",2010,1,"1A"
"Opolskie",0,0,0,0,0,"1-7","styczeń",2010,1,"1A"
"Podkarpackie",1,0,0,1,0,"1-7","styczeń",2010,1,"1A"
"Podlaskie",1,0,0,1,0,"1-7","styczeń",2010,1,"1A"
"Pomorskie",0,0,0,0,0,"1-7","styczeń",2010,1,"1A"
"Śląskie",0,0,0,0,0,"1-7","styczeń",2010,1,"1A"
"Świętokrzyskie",0,0,0,0,0,"1-7","styczeń",2010,1,"1A"
"Warmińsko-Mazurskie",0,0,0,0,0,"1-7","styczeń",2010,1,"1A"
"Wielkopolskie",0,0,0,0,0,"1-7","styczeń",2010,1,"1A"
"Zachodniopomorskie",0,0,0,0,0,"1-7","styczeń",2010,1,"1A"
"Dolnośląskie",0,0,0,0,0,"8-15","styczeń",2010,2,"1B"
"Kujawsko-Pomorskie",0,0,0,0,0,"8-15","styczeń",2010,2,"1B"
"Lubelskie",0,0,0,0,0,"8-15","styczeń",2010,2,"1B"
"Lubuskie",0,0,0,0,0,"8-15","styczeń",2010,2,"1B"
"Łódzkie",0,0,0,0,0,"8-15","styczeń",2010,2,"1B"
"Małopolskie",0,0,0,0,0,"8-15","styczeń",2010,2,"1B"
"Mazowieckie",0,0,0,0,0,"8-15","styczeń",2010,2,"1B"
"Opolskie",0,0,0,0,0,"8-15","styczeń",2010,2,"1B"
"Podkarpackie",0,0,0,0,0,"8-15","styczeń",2010,2,"1B"
"Podlaskie",0,0,0,0,0,"8-15","styczeń",2010,2,"1B"
"Pomorskie",1,0,0,1,0,"8-15","styczeń",2010,2,"1B"
"Śląskie",0,0,0,0,0,"8-15","styczeń",2010,2,"1B"
"Świętokrzyskie",0,0,0,0,0,"8-15","styczeń",2010,2,"1B"
"Warmińsko-Mazurskie",0,0,0,0,0,"8-15","styczeń",2010,2,"1B"
"Wielkopolskie",2,0,0,2,0,"8-15","styczeń",2010,2,"1B"
"Zachodniopomorskie",0,0,0,0,0,"8-15","styczeń",2010,2,"1B"
"Dolnośląskie",0,0,0,0,0,"16-22","styczeń",2010,3,"1C"
"Kujawsko-Pomorskie",0,0,0,0,0,"16-22","styczeń",2010,3,"1C"
"Lubelskie",0,0,0,0,0,"16-22","styczeń",2010,3,"1C"
"Lubuskie",0,0,0,0,0,"16-22","styczeń",2010,3,"1C"
"Łódzkie",0,0,0,0,0,"16-22","styczeń",2010,3,"1C"
"Małopolskie",0,0,0,0,0,"16-22","styczeń",2010,3,"1C"
"Mazowieckie",1,0,0,1,0,"16-22","styczeń",2010,3,"1C"
"Opolskie",0,0,0,0,0,"16-22","styczeń",2010,3,"1C"
"Podkarpackie",0,0,0,0,0,"16-22","styczeń",2010,3,"1C"
"Podlaskie",0,0,0,0,0,"16-22","styczeń",2010,3,"1C"
"Pomorskie",0,0,0,0,0,"16-22","styczeń",2010,3,"1C"
"Śląskie",1,0,0,1,0,"16-22","styczeń",2010,3,"1C"
"Świętokrzyskie",0,0,0,0,0,"16-22","styczeń",2010,3,"1C"
"Warmińsko-Mazurskie",0,0,0,0,0,"16-22","styczeń",2010,3,"1C"
"Wielkopolskie",0,0,0,0,0,"16-22","styczeń",2010,3,"1C"
"Zachodniopomorskie",0,0,0,0,0,"16-22","styczeń",2010,3,"1C"
"Dolnośląskie",1,0,0,1,0,"23-31","styczeń",2010,4,"1D"
"Kujawsko-Pomorskie",0,0,0,0,0,"23-31","styczeń",2010,4,"1D"
"Lubelskie",0,0,0,0,0,"23-31","styczeń",2010,4,"1D"
"Lubuskie",0,0,0,0,0,"23-31","styczeń",2010,4,"1D"
"Łódzkie",0,0,0,0,0,"23-31","styczeń",2010,4,"1D"
"Małopolskie",0,0,0,0,0,"23-31","styczeń",2010,4,"1D"
"Mazowieckie",1,0,0,1,0,"23-31","styczeń",2010,4,"1D"
"Opolskie",0,0,0,0,0,"23-31","styczeń",2010,4,"1D"
"Podkarpackie",0,0,0,0,0,"23-31","styczeń",2010,4,"1D"
"Podlaskie",0,0,0,0,0,"23-31","styczeń",2010,4,"1D"
"Pomorskie",0,0,0,0,0,"23-31","styczeń",2010,4,"1D"
"Śląskie",0,0,0,0,0,"23-31","styczeń",2010,4,"1D"
"Świętokrzyskie",0,0,0,0,0,"23-31","styczeń",2010,4,"1D"
"Warmińsko-Mazurskie",0,0,0,0,0,"23-31","styczeń",2010,4,"1D"
"Wielkopolskie",1,0,0,1,0,"23-31","styczeń",2010,4,"1D"
"Zachodniopomorskie",0,0,0,0,0,"23-31","styczeń",2010,4,"1D"
"Dolnośląskie",0,0,0,0,0,"1-7","luty",2010,5,"2A"
"Kujawsko-Pomorskie",1,0,0,1,0,"1-7","luty",2010,5,"2A"
"Lubelskie",0,0,0,0,0,"1-7","luty",2010,5,"2A"
"Lubuskie",0,0,0,0,0,"1-7","luty",2010,5,"2A"
"Łódzkie",0,0,0,0,0,"1-7","luty",2010,5,"2A"
"Małopolskie",0,0,0,0,0,"1-7","luty",2010,5,"2A"
"Mazowieckie",0,0,0,0,0,"1-7","luty",2010,5,"2A"
"Opolskie",0,0,0,0,0,"1-7","luty",2010,5,"2A"
"Podkarpackie",0,0,0,0,0,"1-7","luty",2010,5,"2A"
"Podlaskie",0,0,0,0,0,"1-7","luty",2010,5,"2A"
"Pomorskie",0,0,0,0,0,"1-7","luty",2010,5,"2A"
"Śląskie",0,0,0,0,0,"1-7","luty",2010,5,"2A"
"Świętokrzyskie",0,0,0,0,0,"1-7","luty",2010,5,"2A"
"Warmińsko-Mazurskie",1,0,0,1,0,"1-7","luty",2010,5,"2A"
"Wielkopolskie",1,0,1,0,0,"1-7","luty",2010,5,"2A"
"Zachodniopomorskie",0,0,0,0,0,"1-7","luty",2010,5,"2A"
"Dolnośląskie",0,0,0,0,0,"8-15","luty",2010,6,"2B"
"Kujawsko-Pomorskie",0,0,0,0,0,"8-15","luty",2010,6,"2B"
"Lubelskie",0,0,0,0,0,"8-15","luty",2010,6,"2B"
"Lubuskie",0,0,0,0,0,"8-15","luty",2010,6,"2B"
"Łódzkie",0,0,0,0,0,"8-15","luty",2010,6,"2B"
"Małopolskie",0,0,0,0,0,"8-15","luty",2010,6,"2B"
"Mazowieckie",0,0,0,0,0,"8-15","luty",2010,6,"2B"
"Opolskie",0,0,0,0,0,"8-15","luty",2010,6,"2B"
"Podkarpackie",0,0,0,0,0,"8-15","luty",2010,6,"2B"
"Podlaskie",0,0,0,0,0,"8-15","luty",2010,6,"2B"
"Pomorskie",0,0,0,0,0,"8-15","luty",2010,6,"2B"
"Śląskie",0,0,0,0,0,"8-15","luty",2010,6,"2B"
"Świętokrzyskie",0,0,0,0,0,"8-15","luty",2010,6,"2B"
"Warmińsko-Mazurskie",0,0,0,0,0,"8-15","luty",2010,6,"2B"
"Wielkopolskie",0,0,0,0,0,"8-15","luty",2010,6,"2B"
"Zachodniopomorskie",0,0,0,0,0,"8-15","luty",2010,6,"2B"
"Dolnośląskie",0,0,0,0,0,"16-22","luty",2010,7,"2C"
"Kujawsko-Pomorskie",0,0,0,0,0,"16-22","luty",2010,7,"2C"
"Lubelskie",0,0,0,0,0,"16-22","luty",2010,7,"2C"
"Lubuskie",0,0,0,0,0,"16-22","luty",2010,7,"2C"
"Łódzkie",0,0,0,0,0,"16-22","luty",2010,7,"2C"
"Małopolskie",0,0,0,0,0,"16-22","luty",2010,7,"2C"
"Mazowieckie",0,0,0,0,0,"16-22","luty",2010,7,"2C"
"Opolskie",0,0,0,0,0,"16-22","luty",2010,7,"2C"
"Podkarpackie",0,0,0,0,0,"16-22","luty",2010,7,"2C"
"Podlaskie",0,0,0,0,0,"16-22","luty",2010,7,"2C"
"Pomorskie",0,0,0,0,0,"16-22","luty",2010,7,"2C"
"Śląskie",0,0,0,0,0,"16-22","luty",2010,7,"2C"
"Świętokrzyskie",0,0,0,0,0,"16-22","luty",2010,7,"2C"
"Warmińsko-Mazurskie",0,0,0,0,0,"16-22","luty",2010,7,"2C"
"Wielkopolskie",0,0,0,0,0,"16-22","luty",2010,7,"2C"
"Zachodniopomorskie",0,0,0,0,0,"16-22","luty",2010,7,"2C"
"Dolnośląskie",0,0,0,0,0,"23-28","luty",2010,8,"2D"
"Kujawsko-Pomorskie",0,0,0,0,0,"23-28","luty",2010,8,"2D"
"Lubelskie",0,0,0,0,0,"23-28","luty",2010,8,"2D"
"Lubuskie",0,0,0,0,0,"23-28","luty",2010,8,"2D"
"Łódzkie",0,0,0,0,0,"23-28","luty",2010,8,"2D"
"Małopolskie",0,0,0,0,0,"23-28","luty",2010,8,"2D"
"Mazowieckie",0,0,0,0,0,"23-28","luty",2010,8,"2D"
"Opolskie",0,0,0,0,0,"23-28","luty",2010,8,"2D"
"Podkarpackie",0,0,0,0,0,"23-28","luty",2010,8,"2D"
"Podlaskie",0,0,0,0,0,"23-28","luty",2010,8,"2D"
"Pomorskie",0,0,0,0,0,"23-28","luty",2010,8,"2D"
"Śląskie",0,0,0,0,0,"23-28","luty",2010,8,"2D"
"Świętokrzyskie",0,0,0,0,0,"23-28","luty",2010,8,"2D"
"Warmińsko-Mazurskie",0,0,0,0,0,"23-28","luty",2010,8,"2D"
"Wielkopolskie",0,0,0,0,0,"23-28","luty",2010,8,"2D"
"Zachodniopomorskie",0,0,0,0,0,"23-28","luty",2010,8,"2D"
"Dolnośląskie",0,0,0,0,0,"1-7","marzec",2010,9,"3A"
"Kujawsko-Pomorskie",0,0,0,0,0,"1-7","marzec",2010,9,"3A"
"Lubelskie",0,0,0,0,0,"1-7","marzec",2010,9,"3A"
"Lubuskie",0,0,0,0,0,"1-7","marzec",2010,9,"3A"
"Łódzkie",0,0,0,0,0,"1-7","marzec",2010,9,"3A"
"Małopolskie",0,0,0,0,0,"1-7","marzec",2010,9,"3A"
"Mazowieckie",0,0,0,0,0,"1-7","marzec",2010,9,"3A"
"Opolskie",0,0,0,0,0,"1-7","marzec",2010,9,"3A"
"Podkarpackie",0,0,0,0,0,"1-7","marzec",2010,9,"3A"
"Podlaskie",0,0,0,0,0,"1-7","marzec",2010,9,"3A"
"Pomorskie",0,0,0,0,0,"1-7","marzec",2010,9,"3A"
"Śląskie",0,0,0,0,0,"1-7","marzec",2010,9,"3A"
"Świętokrzyskie",0,0,0,0,0,"1-7","marzec",2010,9,"3A"
"Warmińsko-Mazurskie",0,0,0,0,0,"1-7","marzec",2010,9,"3A"
"Wielkopolskie",0,0,0,0,0,"1-7","marzec",2010,9,"3A"
"Zachodniopomorskie",0,0,0,0,0,"1-7","marzec",2010,9,"3A"
"Dolnośląskie",0,0,0,0,0,"8-15","marzec",2010,10,"3B"
"Kujawsko-Pomorskie",0,0,0,0,0,"8-15","marzec",2010,10,"3B"
"Lubelskie",0,0,0,0,0,"8-15","marzec",2010,10,"3B"
"Lubuskie",0,0,0,0,0,"8-15","marzec",2010,10,"3B"
"Łódzkie",0,0,0,0,0,"8-15","marzec",2010,10,"3B"
"Małopolskie",0,0,0,0,0,"8-15","marzec",2010,10,"3B"
"Mazowieckie",0,0,0,0,0,"8-15","marzec",2010,10,"3B"
"Opolskie",0,0,0,0,0,"8-15","marzec",2010,10,"3B"
"Podkarpackie",0,0,0,0,0,"8-15","marzec",2010,10,"3B"
"Podlaskie",0,0,0,0,0,"8-15","marzec",2010,10,"3B"
"Pomorskie",0,0,0,0,0,"8-15","marzec",2010,10,"3B"
"Śląskie",0,0,0,0,0,"8-15","marzec",2010,10,"3B"
"Świętokrzyskie",0,0,0,0,0,"8-15","marzec",2010,10,"3B"
"Warmińsko-Mazurskie",0,0,0,0,0,"8-15","marzec",2010,10,"3B"
"Wielkopolskie",0,0,0,0,0,"8-15","marzec",2010,10,"3B"
"Zachodniopomorskie",0,0,0,0,0,"8-15","marzec",2010,10,"3B"
"Dolnośląskie",0,0,0,0,0,"16-22","marzec",2010,11,"3C"
"Kujawsko-Pomorskie",0,0,0,0,0,"16-22","marzec",2010,11,"3C"
"Lubelskie",0,0,0,0,0,"16-22","marzec",2010,11,"3C"
"Lubuskie",0,0,0,0,0,"16-22","marzec",2010,11,"3C"
"Łódzkie",0,0,0,0,0,"16-22","marzec",2010,11,"3C"
"Małopolskie",0,0,0,0,0,"16-22","marzec",2010,11,"3C"
"Mazowieckie",0,0,0,0,0,"16-22","marzec",2010,11,"3C"
"Opolskie",0,0,0,0,0,"16-22","marzec",2010,11,"3C"
"Podkarpackie",0,0,0,0,0,"16-22","marzec",2010,11,"3C"
"Podlaskie",0,0,0,0,0,"16-22","marzec",2010,11,"3C"
"Pomorskie",0,0,0,0,0,"16-22","marzec",2010,11,"3C"
"Śląskie",0,0,0,0,0,"16-22","marzec",2010,11,"3C"
"Świętokrzyskie",0,0,0,0,0,"16-22","marzec",2010,11,"3C"
"Warmińsko-Mazurskie",0,0,0,0,0,"16-22","marzec",2010,11,"3C"
"Wielkopolskie",0,0,0,0,0,"16-22","marzec",2010,11,"3C"
"Zachodniopomorskie",0,0,0,0,0,"16-22","marzec",2010,11,"3C"
"Dolnośląskie",0,0,0,0,0,"23-31","marzec",2010,12,"3D"
"Kujawsko-Pomorskie",0,0,0,0,0,"23-31","marzec",2010,12,"3D"
"Lubelskie",0,0,0,0,0,"23-31","marzec",2010,12,"3D"
"Lubuskie",0,0,0,0,0,"23-31","marzec",2010,12,"3D"
"Łódzkie",0,0,0,0,0,"23-31","marzec",2010,12,"3D"
"Małopolskie",0,0,0,0,0,"23-31","marzec",2010,12,"3D"
"Mazowieckie",0,0,0,0,0,"23-31","marzec",2010,12,"3D"
"Opolskie",0,0,0,0,0,"23-31","marzec",2010,12,"3D"
"Podkarpackie",0,0,0,0,0,"23-31","marzec",2010,12,"3D"
"Podlaskie",0,0,0,0,0,"23-31","marzec",2010,12,"3D"
"Pomorskie",0,0,0,0,0,"23-31","marzec",2010,12,"3D"
"Śląskie",0,0,0,0,0,"23-31","marzec",2010,12,"3D"
"Świętokrzyskie",0,0,0,0,0,"23-31","marzec",2010,12,"3D"
"Warmińsko-Mazurskie",0,0,0,0,0,"23-31","marzec",2010,12,"3D"
"Wielkopolskie",0,0,0,0,0,"23-31","marzec",2010,12,"3D"
"Zachodniopomorskie",0,0,0,0,0,"23-31","marzec",2010,12,"3D"
"Dolnośląskie",0,0,0,0,0,"1-7","kwiecień",2010,13,"4A"
"Kujawsko-Pomorskie",0,0,0,0,0,"1-7","kwiecień",2010,13,"4A"
"Lubelskie",0,0,0,0,0,"1-7","kwiecień",2010,13,"4A"
"Lubuskie",0,0,0,0,0,"1-7","kwiecień",2010,13,"4A"
"Łódzkie",0,0,0,0,0,"1-7","kwiecień",2010,13,"4A"
"Małopolskie",0,0,0,0,0,"1-7","kwiecień",2010,13,"4A"
"Mazowieckie",0,0,0,0,0,"1-7","kwiecień",2010,13,"4A"
